Model,Dataset,Scene,Metric,Standard Value,Masked Value,Difference
beta_splatting,mp360,kitchen,SSIM,0.9448786973953248,0.9435498118400574,0.001328885555267445
beta_splatting,tnt,Meetingroom,SSIM,0.9120292067527772,0.8017839193344116,0.11024528741836559
beta_splatting,mp360,room,SSIM,0.9463526606559752,0.8776373267173767,0.06871533393859852
beta_splatting,mp360,stump,SSIM,0.8829064965248108,0.8844268321990967,-0.0015203356742858887
beta_splatting,mp360,treehill,SSIM,0.7271363735198975,0.6214410066604614,0.10569536685943604
beta_splatting,tnt,Truck,SSIM,0.9003406763076782,0.8388196229934692,0.061521053314208984
QGS,tnt,Barn,SSIM,0.8503893613815308,0.7302860021591187,0.12010335922241211
QGS,mp360,bicycle,SSIM,0.6120738387107849,0.5531641244888306,0.058909714221954346
QGS,mp360,bonsai,SSIM,0.9247576594352722,0.8726232647895813,0.05213439464569092
QGS,tnt,Caterpillar,SSIM,0.7561022639274597,0.6200910210609436,0.1360112428665161
QGS,mp360,counter,SSIM,0.8758651614189148,0.7781103849411011,0.09775477647781372
QGS,tnt,Courthouse,SSIM,0.7698336243629456,0.5069713592529297,0.26286226511001587
QGS,mp360,flowers,SSIM,0.4174918830394745,0.3077895045280456,0.10970237851142889
QGS,mp360,garden,SSIM,0.7083443999290466,0.6808640360832214,0.027480363845825195
QGS,tnt,Ignatius,SSIM,0.7770887613296509,0.7300249338150024,0.04706382751464844
QGS,mp360,kitchen,SSIM,0.8962023854255676,0.8815916776657104,0.014610707759857178
QGS,tnt,Meetingroom,SSIM,0.840333878993988,0.6377431750297546,0.2025907039642334
QGS,mp360,room,SSIM,0.9025241136550904,0.8016310930252075,0.10089302062988292
QGS,mp360,stump,SSIM,0.6535887122154236,0.6199078559875488,0.033680856227874756
QGS,mp360,treehill,SSIM,0.506553590297699,0.3931049108505249,0.11344867944717407
QGS,tnt,Truck,SSIM,0.8470419645309448,0.712272584438324,0.13476938009262085
3dcs,tnt,Barn,SSIM,0.8765620589256287,0.8133360743522644,0.06322598457336426
3dcs,mp360,bicycle,SSIM,0.7363832592964172,0.7021238803863525,0.0342593789100647
3dcs,mp360,bonsai,SSIM,0.9444883465766908,0.9252111315727234,0.019277215003967396
3dcs,tnt,Caterpillar,SSIM,0.7887884974479675,0.6814770102500916,0.10731148719787598
3dcs,mp360,counter,SSIM,0.9086434841156006,0.8217410445213318,0.0869024395942688
3dcs,tnt,Courthouse,SSIM,0.8088971376419067,0.6363054513931274,0.1725916862487793
3dcs,mp360,flowers,SSIM,0.5739333629608154,0.5116125345230103,0.062320828437805176
3dcs,mp360,garden,SSIM,0.8507776856422424,0.834071159362793,0.016706526279449463
3dcs,tnt,Ignatius,SSIM,0.7913867831230164,0.7127617597579956,0.07862502336502075
3dcs,mp360,kitchen,SSIM,0.929839849472046,0.9268630146980286,0.002976834774017445
3dcs,tnt,Meetingroom,SSIM,0.885402262210846,0.766533613204956,0.11886864900588989
3dcs,mp360,room,SSIM,0.9246598482131958,0.84731525182724,0.07734459638595581
3dcs,mp360,stump,SSIM,0.7456187009811401,0.7326186895370483,0.013000011444091797
3dcs,mp360,treehill,SSIM,0.5944960713386536,0.5050064921379089,0.08948957920074463
3dcs,tnt,Truck,SSIM,0.8702277541160583,0.7853970527648926,0.08483070135116577
radfoam,tnt,Barn,SSIM,0.8218278288841248,0.6867204308509827,0.1351073980331421
radfoam,mp360,bicycle,SSIM,0.6763536334037781,0.6458963751792908,0.030457258224487305
radfoam,mp360,bonsai,SSIM,0.9249391555786132,0.9131830334663392,0.011756122112273948
