Model,Dataset,Scene,file_name,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
linprim,TnT,Barn,linprim_Barn_000001.png,SSIM,0.8195153474807739,0.8140051960945129,0.7725569009780884,0.6962205767631531,0.667218804359436,0.005510151386260986,0.04695844650268555,0.12329477071762085,0.1522965431213379
linprim,TnT,Barn,linprim_Barn_000009.png,SSIM,0.8622955679893494,0.8808395862579346,0.8593068718910217,0.7949690818786621,0.7578088045120239,-0.018544018268585205,0.0029886960983276367,0.06732648611068726,0.10448676347732544
linprim,TnT,Barn,linprim_Barn_000017.png,SSIM,0.786679208278656,0.8336716890335083,0.7887991666793823,0.7204909920692444,0.6920433044433594,-0.046992480754852295,-0.0021199584007263184,0.06618821620941162,0.09463590383529663
linprim,TnT,Barn,linprim_Barn_000025.png,SSIM,0.8169532418251038,0.8457866907119751,0.7878598570823669,0.715818464756012,0.6662537455558777,-0.028833448886871338,0.029093384742736816,0.1011347770690918,0.15069949626922607
linprim,TnT,Barn,linprim_Barn_000033.png,SSIM,0.8632593750953674,0.8760126233100891,0.8516789674758911,0.8003824353218079,0.7603831887245178,-0.01275324821472168,0.011580407619476318,0.06287693977355957,0.10287618637084961
linprim,TnT,Barn,linprim_Barn_000041.png,SSIM,0.9038137793540955,0.890716016292572,0.8777481913566589,0.8514060974121094,0.8215023279190063,0.013097763061523438,0.026065587997436523,0.052407681941986084,0.08231145143508911
linprim,TnT,Barn,linprim_Barn_000049.png,SSIM,0.9340218305587769,0.9243807196617126,0.9126411080360413,0.896353006362915,0.8718497157096863,0.009641110897064209,0.021380722522735596,0.037668824195861816,0.062172114849090576
linprim,TnT,Barn,linprim_Barn_000057.png,SSIM,0.865122377872467,0.8608430027961731,0.8402107357978821,0.8028488159179688,0.7772395610809326,0.004279375076293945,0.02491164207458496,0.06227356195449829,0.08788281679153442
linprim,TnT,Barn,linprim_Barn_000065.png,SSIM,0.790385365486145,0.8205915689468384,0.8133087158203125,0.7749754786491394,0.7303333878517151,-0.03020620346069336,-0.02292335033416748,0.015409886837005615,0.06005197763442993
linprim,TnT,Barn,linprim_Barn_000073.png,SSIM,0.7847781181335449,0.8279163837432861,0.8069777488708496,0.7847068309783936,0.7356980443000793,-0.04313826560974121,-0.022199630737304688,7.128715515136719e-05,0.049080073833465576
linprim,TnT,Barn,linprim_Barn_000081.png,SSIM,0.8015965819358826,0.8390134572982788,0.8403422236442566,0.8143213391304016,0.7673708200454712,-0.03741687536239624,-0.03874564170837402,-0.012724757194519043,0.03422576189041138
