Model,Scene,LPIPS,Masked LPIPS,Masked PSNR,Masked SSIM,PSNR,SSIM
linprim,Barn,0.235889732837677,0.234151691198349,20.888797760009766,0.733197808265686,26.850767135620117,0.8407555818557739
linprim,bicycle,0.23526868224143982,0.2018585056066513,22.264631271362305,0.7171995639801025,24.660696029663086,0.7397040724754333
linprim,bonsai,0.19457371532917023,0.09046145528554916,26.162874221801758,0.9150091409683228,31.07020378112793,0.9356354475021362
linprim,Caterpillar,0.27861228585243225,0.334905743598938,19.37364387512207,0.6402800679206848,21.908796310424805,0.7568187713623047
linprim,counter,0.19119316339492798,0.14290814101696014,20.837520599365234,0.8171036839485168,28.407915115356445,0.9049277901649475
linprim,Courthouse,0.2943125069141388,0.42415696382522583,17.346330642700195,0.5415251851081848,21.340030670166016,0.776653528213501
linprim,flowers,0.3214915096759796,0.3426779508590698,19.21265411376953,0.5619401931762695,21.52843475341797,0.6106881499290466
linprim,garden,0.11947289109230042,0.13234642148017883,24.666353225708008,0.8313488960266113,26.768320083618164,0.8502176403999329
linprim,Ignatius,0.23929572105407715,0.2249763160943985,18.438278198242188,0.6845553517341614,20.852771759033203,0.7644174695014954
linprim,kitchen,0.12797772884368896,0.098641037940979,28.230493545532227,0.9234226942062378,29.93701934814453,0.9214518070220947
linprim,Meetingroom,0.23280291259288788,0.2107846736907959,17.89263916015625,0.7179728746414185,23.748920440673828,0.8597145676612854
linprim,room,0.21544994413852692,0.18999075889587402,24.131690979003906,0.818760871887207,29.963382720947266,0.9137168526649475
linprim,stump,0.24064992368221283,0.21955494582653046,23.19573211669922,0.7241196632385254,25.215608596801758,0.7322918176651001
linprim,treehill,0.34645840525627136,0.35359838604927063,18.895353317260742,0.520740270614624,21.82849884033203,0.6169822216033936
linprim,Truck,0.19937701523303986,0.17317642271518707,19.506336212158203,0.766646146774292,24.089635848999023,0.8593280911445618
linprim,average,0.23152174254258473,0.22494596093893052,21.402888615926106,0.7275881608327229,25.211400095621745,0.8055535872777303
beta_splatting,Barn,0.1931433379650116,0.16402864456176758,23.65946388244629,0.8250970840454102,30.059396743774414,0.8852344751358032
beta_splatting,bicycle,0.22522641718387604,0.2024657130241394,23.996875762939453,0.7930772304534912,27.18563461303711,0.8169512748718262
beta_splatting,bonsai,0.15906475484371185,0.05645979940891266,27.226919174194336,0.9442521929740906,34.26286697387695,0.9588825106620789
beta_splatting,Caterpillar,0.22057877480983734,0.25927284359931946,22.03304100036621,0.7523830533027649,25.695810317993164,0.8353810906410217
beta_splatting,counter,0.14794212579727173,0.09793733805418015,23.635427474975586,0.8915618658065796,32.226688385009766,0.9431968927383423
beta_splatting,Courthouse,0.25185325741767883,0.3530959486961365,19.06199836730957,0.6281560063362122,23.712915420532227,0.8170052170753479
beta_splatting,flowers,0.32810738682746887,0.33659353852272034,20.505573272705078,0.6244814395904541,23.642980575561523,0.6796892881393433
beta_splatting,garden,0.15330207347869873,0.16295494139194489,24.813722610473633,0.8354976773262024,28.00697135925293,0.8609347343444824
beta_splatting,Ignatius,0.21131108701229095,0.2057971954345703,21.458303451538086,0.7684339880943298,25.096445083618164,0.8324313759803772
beta_splatting,kitchen,0.10923774540424347,0.08257780224084854,30.290956497192383,0.9435498118400574,33.34763717651367,0.9448786973953247
beta_splatting,Meetingroom,0.19353792071342468,0.1702839434146881,20.549724578857422,0.8017839193344116,28.496597290039062,0.9120292067527771
beta_splatting,room,0.16417786478996277,0.1308692991733551,25.788484573364258,0.8776373267173767,34.27171325683594,0.9463526606559753
beta_splatting,stump,0.182778462767601,0.1353738158941269,26.20755386352539,0.8844268321990967,30.5172176361084,0.8829064965248108
beta_splatting,treehill,0.3213532865047455,0.36236539483070374,20.367820739746094,0.6214410066604614,25.267169952392578,0.7271363735198975
beta_splatting,Truck,0.16329944133758545,0.13830552995204926,21.80419158935547,0.8388196229934692,27.47321319580078,0.9003406763076782
beta_splatting,average,0.2016609291235606,0.19055878321329753,23.426670455932616,0.8020399371782939,28.617550532023113,0.8628900647163391
QGS,Barn,0.22068800032138824,0.23267017304897308,19.883358001708984,0.7302860021591187,25.94445037841797,0.8503893613815308
QGS,bicycle,0.3855045437812805,0.3816062808036804,20.538930892944336,0.5531641244888306,23.248851776123047,0.6120738387107849
QGS,bonsai,0.197892963886261,0.13551181554794312,24.903093338012695,0.8726232647895813,30.4299373626709,0.9247576594352722
QGS,Caterpillar,0.2783365249633789,0.3316039443016052,18.432859420776367,0.6200910210609436,21.31900405883789,0.7561022639274597
QGS,counter,0.22861149907112122,0.17500346899032593,20.907331466674805,0.7781103849411011,27.887468338012695,0.8758651614189148
QGS,Courthouse,0.31742095947265625,0.4435460865497589,16.65967559814453,0.5069713592529297,20.990053176879883,0.7698336243629456
QGS,flowers,0.5149545669555664,0.5991094708442688,16.576139450073242,0.30778950452804565,18.917991638183594,0.4174918830394745
QGS,garden,0.2941835820674896,0.2947898805141449,22.06658172607422,0.6808640360832214,24.5430850982666,0.7083443999290466
QGS,Ignatius,0.196003258228302,0.20277170836925507,19.138769149780273,0.7300249338150024,21.0199031829834,0.7770887613296509
QGS,kitchen,0.15852336585521698,0.12829968333244324,26.58808708190918,0.8815916776657104,29.281455993652344,0.8962023854255676
QGS,Meetingroom,0.25788354873657227,0.30530527234077454,16.9453125,0.6377431750297546,22.339479446411133,0.840333878993988
QGS,room,0.22321979701519012,0.21817263960838318,24.66423797607422,0.8016310930252075,30.68181037902832,0.9025241136550903
QGS,stump,0.36806803941726685,0.33378830552101135,21.818967819213867,0.6199078559875488,24.68504524230957,0.6535887122154236
QGS,treehill,0.4989606440067291,0.5487474799156189,18.39879608154297,0.3931049108505249,21.360618591308594,0.506553590297699
QGS,Truck,0.20470702648162842,0.23911575973033905,18.70301628112793,0.712272584438324,23.536182403564453,0.8470419645309448
QGS,average,0.2896638880173365,0.30466946462790173,20.415010452270508,0.6550783952077229,24.412355804443358,0.7558794399102529
3dcs,Barn,0.16376391053199768,0.13995343446731567,23.189382553100586,0.8133360743522644,29.16057014465332,0.8765620589256287
3dcs,bicycle,0.2175145000219345,0.2355610430240631,22.1966495513916,0.7021238803863525,24.676170349121094,0.7363832592964172
3dcs,bonsai,0.17954714596271515,0.08527330309152603,26.99830436706543,0.9252111315727234,32.55391311645508,0.9444883465766907
3dcs,Caterpillar,0.23890124261379242,0.2995494306087494,20.219593048095703,0.6814770102500916,23.395654678344727,0.7887884974479675
3dcs,counter,0.18090681731700897,0.1412138044834137,21.198808670043945,0.8217410445213318,29.05555534362793,0.9086434841156006
3dcs,Courthouse,0.24074354767799377,0.3322848975658417,18.814725875854492,0.6363054513931274,22.79035186767578,0.8088971376419067
3dcs,flowers,0.32221171259880066,0.3707282245159149,18.286558151245117,0.5116125345230103,20.455717086791992,0.5739333629608154
3dcs,garden,0.1129670962691307,0.12714241445064545,24.913589477539062,0.834071159362793,27.09023094177246,0.8507776856422424
3dcs,Ignatius,0.19910867512226105,0.20507197082042694,19.869089126586914,0.7127617597579956,22.823442459106445,0.7913867831230164
3dcs,kitchen,0.11642400175333023,0.09756443649530411,29.041170120239258,0.9268630146980286,31.828155517578125,0.9298398494720459
3dcs,Meetingroom,0.20709790289402008,0.18297728896141052,19.38374137878418,0.766533613204956,26.625131607055664,0.885402262210846
3dcs,room,0.19163276255130768,0.1618429273366928,25.16748809814453,0.84731525182724,31.597593307495117,0.9246598482131958
3dcs,stump,0.22834569215774536,0.22618913650512695,23.6051025390625,0.7326186895370483,26.046527862548828,0.7456187009811401
3dcs,treehill,0.3176354765892029,0.3402702808380127,18.952280044555664,0.5050064921379089,21.692289352416992,0.5944960713386536
3dcs,Truck,0.16811053454875946,0.16260962188243866,20.345008850097656,0.7853970527648926,25.659103393554688,0.8702277541160583
3dcs,average,0.20566073457400005,0.2072154810031255,22.14543279012044,0.7468249440193176,26.36336046854655,0.8153403401374817
radfoam,Barn,0.2722938060760498,0.31769225001335144,21.11492156982422,0.6867204308509827,27.041805267333984,0.8218278288841248
