Model,Dataset,Scene,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
linprim,TnT,Barn,SSIM,0.8407555818557739,0.8706150054931641,0.8355047702789307,0.7757704854011536,0.733197808265686,-0.029859423637390137,0.005250811576843262,0.06498509645462036,0.10755777359008789
linprim,TnT,Barn,PSNR,26.850767135620117,29.73032569885254,27.90045166015625,24.374460220336914,20.888797760009766,-2.879558563232422,-1.0496845245361328,2.476306915283203,5.961969375610352
linprim,TnT,Barn,LPIPS,0.235889732837677,0.17099061608314514,0.19954663515090942,0.14805451035499573,0.234151691198349,-0.06489911675453186,-0.03634309768676758,-0.08783522248268127,-0.001738041639328003
linprim,MP360,bicycle,SSIM,0.7397040724754333,0.7860193848609924,0.7597798109054565,0.7366657257080078,0.7171995639801025,-0.04631531238555908,-0.020075738430023193,0.003038346767425537,0.02250450849533081
linprim,MP360,bicycle,PSNR,24.660696029663086,28.39682388305664,27.05010223388672,24.684059143066406,22.264631271362305,-3.7361278533935547,-2.389406204223633,-0.023363113403320312,2.3960647583007812
linprim,MP360,bicycle,LPIPS,0.23526868224143982,0.13468246161937714,0.15932698547840118,0.14661723375320435,0.2018585056066513,-0.10058622062206268,-0.07594169676303864,-0.08865144848823547,-0.03341017663478851
linprim,MP360,bonsai,SSIM,0.9356354475021362,0.9326441884040833,0.9230968356132507,0.9154667258262634,0.9150091409683228,0.0029912590980529785,0.012538611888885498,0.020168721675872803,0.020626306533813477
linprim,MP360,bonsai,PSNR,31.07020378112793,31.815204620361328,30.185749053955078,28.55276107788086,26.162874221801758,-0.7450008392333984,0.8844547271728516,2.5174427032470703,4.907329559326172
linprim,MP360,bonsai,LPIPS,0.19457371532917023,0.10490401089191437,0.13691869378089905,0.08874718844890594,0.09046145528554916,-0.08966970443725586,-0.05765502154827118,-0.10582652688026428,-0.10411226004362106
linprim,TnT,Caterpillar,SSIM,0.7568187713623047,0.7830657362937927,0.738680362701416,0.6683767437934875,0.6402800679206848,-0.026246964931488037,0.018138408660888672,0.08844202756881714,0.11653870344161987
linprim,TnT,Caterpillar,PSNR,21.908796310424805,22.908037185668945,21.92786979675293,21.045106887817383,19.37364387512207,-0.9992408752441406,-0.019073486328125,0.8636894226074219,2.5351524353027344
linprim,TnT,Caterpillar,LPIPS,0.27861228585243225,0.17311805486679077,0.2047566920518875,0.1746998280286789,0.334905743598938,-0.10549423098564148,-0.07385559380054474,-0.10391245782375336,0.05629345774650574
linprim,MP360,counter,SSIM,0.9049277901649475,0.9032577276229858,0.8810080885887146,0.8593096137046814,0.8171036839485168,0.00167006254196167,0.02391970157623291,0.04561817646026611,0.08782410621643066
linprim,MP360,counter,PSNR,28.407915115356445,30.108919143676758,28.12623405456543,25.343900680541992,20.837520599365234,-1.7010040283203125,0.2816810607910156,3.064014434814453,7.570394515991211
linprim,MP360,counter,LPIPS,0.19119316339492798,0.1412792056798935,0.1555357575416565,0.13690851628780365,0.14290814101696014,-0.049913957715034485,-0.035657405853271484,-0.05428464710712433,-0.048285022377967834
linprim,TnT,Courthouse,SSIM,0.776653528213501,0.7871068120002747,0.6986037492752075,0.6030914783477783,0.5415251851081848,-0.010453283786773682,0.07804977893829346,0.17356204986572266,0.23512834310531616
linprim,TnT,Courthouse,PSNR,21.340030670166016,22.051301956176758,20.586503982543945,19.354114532470703,17.346330642700195,-0.7112712860107422,0.7535266876220703,1.9859161376953125,3.9937000274658203
linprim,TnT,Courthouse,LPIPS,0.2943125069141388,0.2663114666938782,0.3009956181049347,0.29719334840774536,0.42415696382522583,-0.02800104022026062,0.0066831111907958984,0.0028808414936065674,0.12984445691108704
linprim,MP360,flowers,SSIM,0.6106881499290466,0.7150769233703613,0.6462153792381287,0.5945152640342712,0.5619401931762695,-0.1043887734413147,-0.03552722930908203,0.01617288589477539,0.0487479567527771
linprim,MP360,flowers,PSNR,21.52843475341797,27.319734573364258,25.318456649780273,22.635650634765625,19.21265411376953,-5.791299819946289,-3.7900218963623047,-1.1072158813476562,2.3157806396484375
linprim,MP360,flowers,LPIPS,0.3214915096759796,0.21807536482810974,0.2203248143196106,0.21606417000293732,0.3426779508590698,-0.10341614484786987,-0.10116669535636902,-0.1054273396730423,0.02118644118309021
linprim,MP360,garden,SSIM,0.8502176403999329,0.8778657913208008,0.8571853637695312,0.8435344696044922,0.8313488960266113,-0.02764815092086792,-0.006967723369598389,0.006683170795440674,0.018868744373321533
linprim,MP360,garden,PSNR,26.768320083618164,30.05278778076172,28.74845314025879,26.729354858398438,24.666353225708008,-3.2844676971435547,-1.980133056640625,0.03896522521972656,2.1019668579101562
linprim,MP360,garden,LPIPS,0.11947289109230042,0.08420868963003159,0.09180760383605957,0.08116663247346878,0.13234642148017883,-0.03526420146226883,-0.027665287256240845,-0.038306258618831635,0.012873530387878418
linprim,TnT,Ignatius,SSIM,0.7644174695014954,0.8012863993644714,0.7641847729682922,0.707672119140625,0.6845553517341614,-0.036868929862976074,0.000232696533203125,0.05674535036087036,0.07986211776733398
linprim,TnT,Ignatius,PSNR,20.852771759033203,22.18846893310547,21.633068084716797,20.162174224853516,18.438278198242188,-1.3356971740722656,-0.7802963256835938,0.6905975341796875,2.4144935607910156
linprim,TnT,Ignatius,LPIPS,0.23929572105407715,0.19355656206607819,0.19896116852760315,0.17242564260959625,0.2249763160943985,-0.04573915898799896,-0.040334552526474,-0.0668700784444809,-0.01431940495967865
linprim,MP360,kitchen,SSIM,0.9214518070220947,0.9218294620513916,0.916019856929779,0.9183728098869324,0.9234226942062378,-0.000377655029296875,0.005431950092315674,0.0030789971351623535,-0.0019708871841430664
linprim,MP360,kitchen,PSNR,29.93701934814453,30.20633316040039,29.43663215637207,29.276639938354492,28.230493545532227,-0.2693138122558594,0.5003871917724609,0.6603794097900391,1.7065258026123047
linprim,MP360,kitchen,LPIPS,0.12797772884368896,0.11449456959962845,0.12679985165596008,0.09406092762947083,0.098641037940979,-0.013483159244060516,-0.0011778771877288818,-0.03391680121421814,-0.02933669090270996
linprim,TnT,Meetingroom,SSIM,0.8597145676612854,0.870806097984314,0.8127239346504211,0.7449073791503906,0.7179728746414185,-0.011091530323028564,0.04699063301086426,0.11480718851089478,0.14174169301986694
linprim,TnT,Meetingroom,PSNR,23.748920440673828,24.243051528930664,22.830068588256836,20.241004943847656,17.89263916015625,-0.49413108825683594,0.9188518524169922,3.507915496826172,5.856281280517578
linprim,TnT,Meetingroom,LPIPS,0.23280291259288788,0.16087743639945984,0.18377505242824554,0.17472957074642181,0.2107846736907959,-0.07192547619342804,-0.049027860164642334,-0.058073341846466064,-0.02201823890209198
linprim,MP360,room,SSIM,0.9137168526649475,0.9152037501335144,0.8956621885299683,0.8568728566169739,0.818760871887207,-0.0014868974685668945,0.018054664134979248,0.05684399604797363,0.09495598077774048
linprim,MP360,room,PSNR,29.963382720947266,30.880767822265625,29.55099105834961,26.638246536254883,24.131690979003906,-0.9173851013183594,0.41239166259765625,3.325136184692383,5.831691741943359
linprim,MP360,room,LPIPS,0.21544994413852692,0.13677211105823517,0.16041643917560577,0.13745637238025665,0.18999075889587402,-0.07867783308029175,-0.05503350496292114,-0.07799357175827026,-0.025459185242652893
linprim,MP360,stump,SSIM,0.7322918176651001,0.7424852252006531,0.7308663725852966,0.7277573943138123,0.7241196632385254,-0.010193407535552979,0.0014254450798034668,0.004534423351287842,0.008172154426574707
linprim,MP360,stump,PSNR,25.215608596801758,27.520275115966797,26.405391693115234,24.52237319946289,23.19573211669922,-2.304666519165039,-1.1897830963134766,0.6932353973388672,2.019876480102539
linprim,MP360,stump,LPIPS,0.24064992368221283,0.2196437120437622,0.22505496442317963,0.1803928017616272,0.21955494582653046,-0.021006211638450623,-0.015594959259033203,-0.06025712192058563,-0.021094977855682373
linprim,MP360,treehill,SSIM,0.6169822216033936,0.7128335237503052,0.6383950710296631,0.5641698837280273,0.520740270614624,-0.09585130214691162,-0.02141284942626953,0.05281233787536621,0.09624195098876953
linprim,MP360,treehill,PSNR,21.82849884033203,25.10512351989746,23.18578338623047,21.606178283691406,18.895353317260742,-3.2766246795654297,-1.3572845458984375,0.222320556640625,2.933145523071289
linprim,MP360,treehill,LPIPS,0.34645840525627136,0.2644764184951782,0.22570954263210297,0.21583035588264465,0.35359838604927063,-0.08198198676109314,-0.1207488626241684,-0.1306280493736267,0.007139980792999268
linprim,TnT,Truck,SSIM,0.8593280911445618,0.8862199783325195,0.8279374837875366,0.7874276638031006,0.766646146774292,-0.026891887187957764,0.031390607357025146,0.07190042734146118,0.09268194437026978
linprim,TnT,Truck,PSNR,24.089635848999023,27.41451072692871,24.893117904663086,22.317081451416016,19.506336212158203,-3.3248748779296875,-0.8034820556640625,1.7725543975830078,4.58329963684082
linprim,TnT,Truck,LPIPS,0.19937701523303986,0.1390381008386612,0.14970020949840546,0.14478009939193726,0.17317642271518707,-0.06033891439437866,-0.0496768057346344,-0.0545969158411026,-0.026200592517852783
beta_splatting,TnT,Barn,SSIM,0.8852344751358032,0.9091111421585083,0.8890175223350525,0.8561831712722778,0.8250970840454102,-0.023876667022705078,-0.0037830471992492676,0.02905130386352539,0.060137391090393066
beta_splatting,TnT,Barn,PSNR,30.059396743774414,33.77695083618164,31.875572204589844,27.615633010864258,23.65946388244629,-3.7175540924072266,-1.8161754608154297,2.4437637329101562,6.399932861328125
beta_splatting,TnT,Barn,LPIPS,0.1931433379650116,0.12912492454051971,0.1574607491493225,0.11031020432710648,0.16402864456176758,-0.06401841342449188,-0.03568258881568909,-0.08283313363790512,-0.02911469340324402
beta_splatting,MP360,bicycle,SSIM,0.8169512748718262,0.857369065284729,0.8321606516838074,0.8039833903312683,0.7930772304534912,-0.04041779041290283,-0.015209376811981201,0.012967884540557861,0.02387404441833496
beta_splatting,MP360,bicycle,PSNR,27.18563461303711,31.374462127685547,29.680774688720703,27.146644592285156,23.996875762939453,-4.1888275146484375,-2.4951400756835938,0.038990020751953125,3.1887588500976562
